Заболели;Умерли;Вылечились;Активные случаи;
Сомали;21 269;1 180;0;20 089 
Восточный Тимор;19 675;119;0;19 556 
Бурунди;19 257;38;0;19 219 
Таджикистан;17 484;125;0;17 359 
Кюрасао;16 804;168;0;16 636 
Тайвань;16 305;846;0;15 459 
Маврикий;16 291;110;0;16 181 
Аруба;15 645;170;0;15 475 
Мали;15 490;553;0;14 937 
Андорра;15 307;130;0;15 177 
Никарагуа;15 134;205;0;14 929 
Конго - Браззавиль;14 833;206;0;14 627 
Буркина-Фасо;14 516;195;0;14 321 
Джибути;13 229;177;0;13 052 
Экваториальная Гвинея;12 786;155;0;12 631 
Исландия;12 243;33;0;12 210 
Южный Судан;12 114;130;0;11 984 
Сент-Люсия;12 017;224;0;11 793 
ЦАР;11 401;100;0;11 301 
Барбадос;11 132;98;0;11 034 
Гамбия;9 941;339;0;9 602 
Йемен;9 402;1 782;0;7 620 
Новая Каледония;9 186;201;0;8 985 
Бруней-Даруссалам;9 167;64;0;9 103 
о-в Мэн;8 121;54;0;8 067 
Эритрея;6 755;43;0;6 712 
Сьерра-Леоне;6 396;121;0;6 275 
Гвинея-Бисау;6 119;141;0;5 978 
Нигер;6 115;204;0;5 911 
Либерия;5 801;286;0;5 515 
Гибралтар;5 655;97;0;5 558 
Гренада;5 653;183;0;5 470 
Бермудские о-ва;5 501;89;0;5 412 
Сан-Марино;5 470;91;0;5 379 
Чад;5 061;174;0;4 887 
Новая Зеландия;4 705;28;0;4 677 
Синт-Мартен;4 403;69;0;4 334 
Коморы;4 166;147;0;4 019 
Сент-Винсент и Гренадины;4 096;38;0;4 058 
Доминика;4 020;26;0;3 994 
Сен-Мартен;3 819;55;0;3 764 
Антигуа и Барбуда;3 750;93;0;3 657 
Сан-Томе и Принсипи;3 629;56;0;3 573 
Лихтенштейн;3 567;58;0;3 509 
Монако;3 336;35;0;3 301 
о-ва Тёркс и Кайкос;2 898;23;0;2 875 
Виргинские о-ва;2 725;37;0;2 688 
Бутан;2 613;3;0;2 610 
Сент-Китс и Невис;2 412;19;0;2 393 
Сен-Бартелеми;1 649;6;0;1 643 
Фарерские о-ва;1 301;2;0;1 299 
Острова Кайман;983;2;0;981 
Лайнер «Даймонд Принсесс»;712;13;0;699 
Гренландия;623;0;0;623 
Ангилья;594;1;0;593 
Фолклендские о-ва;68;0;0;68 
Монтсеррат;41;1;0;40 
Сен-Пьер и Микелон;32;0;0;32 
Ватикан;27;0;0;27 
Соломоновы Острова;20;0;0;20 
Палау;5;0;0;5 
Вануату;4;1;0;3 
Маршалловы Острова;4;0;0;4 
Самоа;3;0;0;3 
Кирибати;2;0;0;2 
Федеративные Штаты Микронезии;1;0;0;1 
Всего;238 417 612;4 862 243;6 894 285;226 661 084
